# Species	Genes	Alg.-Conn.	chengduensis_protein.faa	ludwigii_protein.faa	oligotrophicus_protein.faa	sichuanensis_protein.faa	soli_protein.faa
5	7	0.28	WP_044699108.1,WP_048958009.1,WP_077064262.1	WP_025202983.1	WP_095450178.1	WP_095450178.1	WP_014071219.1
5	6	0.653	WP_014068448.1	WP_014171903.1,WP_014830236.1	WP_014830236.1	WP_014830236.1	WP_014068448.1
5	6	0.604	WP_000574029.1,WP_032642594.1	WP_040017510.1	WP_155031924.1	WP_155031924.1	WP_014069315.1
5	6	0.513	WP_032640864.1	WP_040017613.1	WP_025759102.1	WP_025759102.1	WP_014063827.1,WP_014070808.1
5	6	0.286	WP_032641412.1,WP_206862699.1	WP_190320715.1	WP_170940848.1	WP_170940848.1	WP_181444938.1
5	6	0.268	WP_032639368.1	WP_040016920.1,WP_040017662.1	WP_025755962.1	WP_025755962.1	WP_014069301.1
5	6	0.205	WP_032640550.1,WP_000157620.1	WP_040017512.1	WP_047958607.1	WP_047958607.1	WP_014069314.1
5	6	0.157	WP_032640552.1,WP_001246155.1	WP_014170083.1	WP_047958608.1	WP_047958608.1	WP_014069312.1
5	6	0.132	WP_077064459.1	WP_040018066.1,WP_040017093.1	WP_155031272.1	WP_155031272.1	WP_014070084.1
5	6	0.112	WP_077064454.1	WP_040018071.1,WP_040017089.1	WP_155031278.1	WP_155031278.1	WP_014070073.1
5	6	0.108	WP_032640540.1	WP_014169838.1,WP_040017209.1	WP_025758584.1	WP_025758584.1	WP_014070034.1
5	5	0.998	WP_032639155.1	WP_014169313.1	WP_047958117.1	WP_047958117.1	WP_014069510.1
5	5	0.995	WP_032640523.1	WP_040017342.1	WP_155031094.1	WP_155031094.1	WP_014070045.1
5	5	0.995	WP_032644577.1	WP_040018205.1	WP_126801282.1	WP_126801282.1	WP_014072112.1
5	5	0.994	WP_032643442.1	WP_020883101.1	WP_155031519.1	WP_155031519.1	WP_014071227.1
5	5	0.994	WP_032644637.1	WP_025202799.1	WP_059386121.1	WP_059386121.1	WP_014072223.1
5	5	0.994	WP_077064035.1	WP_040017641.1	WP_025756594.1	WP_025756594.1	WP_014070487.1
5	5	0.993	WP_032638387.1	WP_014168802.1	WP_047957848.1	WP_047957848.1	WP_014069061.1
5	5	0.993	WP_032639524.1	WP_014169495.1	WP_155030974.1	WP_155030974.1	WP_014069707.1
